temp,feelslike,feelslike,feelslike,feelslike,windspeed
30.5,34.4,35.4,36.4,37.4,26.4
29.9,33.4,34.4,35.4,36.4,19.7
28.5,30.6,31.6,32.6,33.6,18.3
25.5,26,27,28,29,17.7
23.5,23.5,24.5,25.5,26.5,17.4
24.7,25.1,26.1,27.1,28.1,14.6
25.8,26.7,27.7,28.7,29.7,18.3
26.6,27.5,28.5,29.5,30.5,20.6
25.8,26.7,27.7,28.7,29.7,11
26.8,27.6,28.6,29.6,30.6,12.8
26.9,27.8,28.8,29.8,30.8,14.1
28,28.8,29.8,30.8,31.8,14.4
28.6,30.4,31.4,32.4,33.4,16.3
29.7,31.9,32.9,33.9,34.9,14.1
27.3,28.7,29.7,30.7,31.7,12.1
28,29.5,30.5,31.5,32.5,11.2
26.5,27.4,28.4,29.4,30.4,27.2
28,29.6,30.6,31.6,32.6,18.5
29,30.8,31.8,32.8,33.8,17
25.2,26,27,28,29,27.9
22.5,22.5,23.5,24.5,25.5,17.8
24.1,24.3,25.3,26.3,27.3,24.1
22,22,23,24,25,18.4
22.3,22.2,23.2,24.2,25.2,15.7
23,23.1,24.1,25.1,26.1,17.2
22.8,22.8,23.8,24.8,25.8,21.6
22.4,22.2,23.2,24.2,25.2,13.1
23.4,23.3,24.3,25.3,26.3,21.1
23,22.9,23.9,24.9,25.9,17.1
20.7,20.7,21.7,22.7,23.7,17.3
20.7,20.7,21.7,22.7,23.7,10.2
22,22.1,23.1,24.1,25.1,26.7
25.1,25.6,26.6,27.6,28.6,25
25.7,26.4,27.4,28.4,29.4,17.3
26.4,27.6,28.6,29.6,30.6,21.4
24.9,25.2,26.2,27.2,28.2,13.9
23.8,24.1,25.1,26.1,27.1,11.2
25.6,26.4,27.4,28.4,29.4,16.6
26.1,27,28,29,30,15.6
24.3,24.8,25.8,26.8,27.8,17.3
22.8,22.8,23.8,24.8,25.8,22.3
22.8,22.8,23.8,24.8,25.8,13.8
16,16,17,18,19,24
15.4,15.4,16.4,17.4,18.4,25.2
16.7,16.7,17.7,18.7,19.7,14.6
